year_local,area,year,1월 미세먼지PM10,2월 미세먼지PM10,3월 미세먼지PM10,4월 미세먼지PM10,5월 미세먼지PM10,6월 미세먼지PM10,7월 미세먼지PM10,8월 미세먼지PM10,9월 미세먼지PM10,10월 미세먼지PM10,11월 미세먼지PM10,12월 미세먼지PM10
2010_부산광역시,부산광역시,2010,47,44,64,50,56,46,41,42,38,41,60,55
2011_부산광역시,부산광역시,2011,38,57,58,56,76,52,41,35,33,43,41,41
2012_부산광역시,부산광역시,2012,45,46,47,53,58,38,40,34,35,42,47,36
2013_부산광역시,부산광역시,2013,56,47,66,49,62,47,47,47,33,38,43,47
2014_부산광역시,부산광역시,2014,57,45,50,53,71,54,48,36,39,39,47,42
2015_부산광역시,부산광역시,2015,47,63,56,48,56,49,37.0,39.0,29.0,43.0,33,41
2016_부산광역시,부산광역시,2016,45,46,52,60,53,39,29,36,36,37,49,44
2017_부산광역시,부산광역시,2017,45,42,52,54,58,42,37,28,39,32,50,46
2018_부산광역시,부산광역시,2018,45,52,44,63,44,41,37,28,26,32,47,40
2019_부산광역시,부산광역시,2019,48,48,51,40,47,32,,NaN,NaN,NaN,NaN,NaN
2010_대구광역시,대구광역시,2010,56,49,69,47,55,47,36,38,36,43,70,67
2011_대구광역시,대구광역시,2011,41,65,58,51,66,46,35,32,32,44,47,43
2012_대구광역시,대구광역시,2012,51,49,48,50,49,37,34,27,31,43,48,43
2013_대구광역시,대구광역시,2013,65,50,60,45,52,44,32,39,31,35,42,48
2014_대구광역시,대구광역시,2014,60,50,50,53,60,42,38,27,33,36,49,44
2015_대구광역시,대구광역시,2015,54,66,61,42,48,47,34,37,30,43,34,51
2016_대구광역시,대구광역시,2016,49,45,52,60,48,39,29,28,33,35,52.0,47
2017_대구광역시,대구광역시,2017,49,41,48,50,53,38,34,24,36.0,32.0,52,46
2018_대구광역시,대구광역시,2018,47,48,43,56,40,36,27,22,24,32,57,47
2019_대구광역시,대구광역시,2019,57,54,54,40,46,32,,NaN,NaN,NaN,NaN,NaN
2010_인천광역시,인천광역시,2010,64,54,67,55,62,57,37,37,34,51,78,67
2011_인천광역시,인천광역시,2011,48,79,71,63,84,50,36,36,40,54,49,50
2012_인천광역시,인천광역시,2012,63,56,55,57,64,45,30,28,35,40,49,46
2013_인천광역시,인천광역시,2013,63,50,58,59,60,48,39,40,35,36,46,55
2014_인천광역시,인천광역시,2014,58,58,58,59,67,43,41,34,36,40,47,45
2015_인천광역시,인천광역시,2015,53,84,73,54,52,42,34.0,42.0,38.0,53,41,54
2016_인천광역시,인천광역시,2016,49,46,65,72,58,48,35,37,41,42,55,47
2017_인천광역시,인천광역시,2017,52,47,62,58,63,42,37,27.0,38,33,41,45
2018_인천광역시,인천광역시,2018,48,49,49,46,40,34,26,25,24,33,55,45
2019_인천광역시,인천광역시,2019,62,55,67,43,51,29,,NaN,NaN,NaN,NaN,NaN
2010_광주광역시,광주광역시,2010,46,39,65,42,62,39,27,28,29,42,70,54
2011_광주광역시,광주광역시,2011,34,60,55,54,67,45,28,27,30,40,38,35
2012_광주광역시,광주광역시,2012,45,40,45,45,56,35,24,22,32,39,43,31
2013_광주광역시,광주광역시,2013,52,40,59,46,57,42,33,32,33,32,39,42
2014_광주광역시,광주광역시,2014,52,46,49,43,64,41,29,32,31,32,37,35
2015_광주광역시,광주광역시,2015,43,59,64,40,41,41,31.0,29.0,25.0,49.0,35,42
2016_광주광역시,광주광역시,2016,39,44,52,64,49,35,23,28,31,32,44,40
2017_광주광역시,광주광역시,2017,47,35,49,54,56,35,24,24,34,33,50,44
2018_광주광역시,광주광역시,2018,45,50,48,56,40,41,26,24,25,34,59,43
2019_광주광역시,광주광역시,2019,53,57,63,43,50,40,,NaN,NaN,NaN,NaN,NaN
2010_대전광역시,대전광역시,2010,48,39,52,41,52,40,26,27,28,40,71,57
2011_대전광역시,대전광역시,2011,39,63,59,52,67,43,28,25,28,42,40,43
2012_대전광역시,대전광역시,2012,51,45,46,49,53,37,27,19,28,33,44,38
2013_대전광역시,대전광역시,2013,58,47,54,48,53,40,28,28,29,30,39,46
2014_대전광역시,대전광역시,2014,56,51,50,45,59,39,31,23,27,29,39,43
2015_대전광역시,대전광역시,2015,52,68,68,40,49,40,31.0,32.0,27,50,37,49
2016_대전광역시,대전광역시,2016,48,46,59,64,49,38,27,29,32,36,51,47
2017_대전광역시,대전광역시,2017,51,46,54,58,63,43,32,24,37,36,51,49
2018_대전광역시,대전광역시,2018,56,56,52,60,47,38,26,22,22,31,63,51
2019_대전광역시,대전광역시,2019,66,62,68,40,46,30,,NaN,NaN,NaN,NaN,NaN
2010_울산광역시,울산광역시,2010,46,44,60,47,54,50,39,40,36,39,62,55
2011_울산광역시,울산광역시,2011,39,59,63,59,75,55,42,35,35,46,45,41
2012_울산광역시,울산광역시,2012,48,47,49,59,60,40,49,36,36,44,45,34
2013_울산광역시,울산광역시,2013,54,46,64,46,59,49,44,49,32,36,41,45
2014_울산광역시,울산광역시,2014,55,45,49,56,67,48,45,32,35,39,46,38
2015_울산광역시,울산광역시,2015,46,64,59,49,57,50,38,38.0,28.0,43.0,31,39
2016_울산광역시,울산광역시,2016,43,42,50,61,57,41,32,32,35,37,48,40
2017_울산광역시,울산광역시,2017,42,39,51,55,64,44,41,27,36,29,46,38
2018_울산광역시,울산광역시,2018,40,47,40,64,45,42,39,25,26,31,47,35
2019_울산광역시,울산광역시,2019,45,46,49,40,49,34,,NaN,NaN,NaN,NaN,NaN
2010_경기도,경기도,2010,68,56,67,57,66,62,41,39,34,51,83,71
2011_경기도,경기도,2011,54,86,76,68,80,54,37,35,37,52,49,58
2012_경기도,경기도,2012,67,58,56,58,63,48,34,28,36,42,52,50
2013_경기도,경기도,2013,72,53,65,63,66,52,42,44,37,38,52,65
2014_경기도,경기도,2014,68,67,68,68,71,47,46,36,35,41,53,51
2015_경기도,경기도,2015,58,88,78,51,51,41,34,38,33.0,54.0,40,60
2016_경기도,경기도,2016,58,52,71,76,58,46,32,36,41,44,61,56
2017_경기도,경기도,2017,63,55,71,64,70,45,37,26,41,37,51,54
2018_경기도,경기도,2018,56,56,56,56,45,39,26,25,24,35,62,50
2019_경기도,경기도,2019,72,61,72,45,56,32,,NaN,NaN,NaN,NaN,NaN
2010_강원도,강원도,2010,62,55,70,58,60,48,33,32,24,38,68,63
2011_강원도,강원도,2011,51,75,70,63,70,42,27,25,29,45,47,48
2012_강원도,강원도,2012,66,56,54,59,55,42,33,25,29,40,52,49
2013_강원도,강원도,2013,72,56,68,57,60,41,36,39,31,34,47,65
2014_강원도,강원도,2014,66,60,68,66,67,44,39,32,31,37,48,51
2015_강원도,강원도,2015,59,85,77,51,55,41,33,38.0,28,42.0,35,52
2016_강원도,강원도,2016,50,49,63,67,56,43,31,29,34,37,55,48
2017_강원도,강원도,2017,56,54,60,55,61,41,33,22,34.0,27,43,43
2018_강원도,강원도,2018,47,46,44,54,41,35,28,23,23,26,46,41
2019_강원도,강원도,2019,59,51,59,39,46,29,,NaN,NaN,NaN,NaN,NaN
2010_충청북도,충청북도,2010,77,62,73,63,67,60,37,37,33,55,91,79
2011_충청북도,충청북도,2011,60,93,80,67,72,50,29,27,34,53,50,59
2012_충청북도,충청북도,2012,70,61,60,62,62,45,34,21,34,45,59,60
2013_충청북도,충청북도,2013,85,64,78,65,67,47,33,36,34,39,53,63
2014_충청북도,충청북도,2014,75,65,67,65,70,47,37,28,33,36,51,49
2015_충청북도,충청북도,2015,61,81,77,44,52,42,32.0,34,31.0,52,40,54
2016_충청북도,충청북도,2016,53,50,67,66,53,39,23,26,31,37,55,51
2017_충청북도,충청북도,2017,56,50,58,54,57,40,28,20,35,32,50,48
2018_충청북도,충청북도,2018,54,51,50,55,44,38,30,25,26,39,65,53
2019_충청북도,충청북도,2019,70,63,67,43,50,36,,NaN,NaN,NaN,NaN,NaN
2010_충청남도,충청남도,2010,45,40,57,47,52,46,29,30,31,48,71,54
2011_충청남도,충청남도,2011,34,61,62,53,72,42,26,26,32,46,40,38
2012_충청남도,충청남도,2012,50,48,52,51,59,38,25,23,33,35,41,37
2013_충청남도,충청남도,2013,53,43,51,51,55,39,30,33,31,32,39,44
2014_충청남도,충청남도,2014,52,54,52,52,62,39,34,28,31,35,35,35
2015_충청남도,충청남도,2015,45,67,66,43,46,42,32.0,37.0,30,47,39,45
2016_충청남도,충청남도,2016,45,43,61,71,55,47,31,40,42,46,51,43
2017_충청남도,충청남도,2017,50,45,49,61,68,43,33,28,40,38,46,44
2018_충청남도,충청남도,2018,51,49,48,51,42,36,23,24,22,31,60,45
2019_충청남도,충청남도,2019,62,58,67,43,52,34,,NaN,NaN,NaN,NaN,NaN
2010_전라북도,전라북도,2010,55,47,62,52,66,61,36,35,34,49,73,58
2011_전라북도,전라북도,2011,43,72,62,61,76,54,32,31,34,50,49,48
2012_전라북도,전라북도,2012,65,55,58,57,69,43,28,25,40,44,52,46
2013_전라북도,전라북도,2013,72,57,67,59,62,50,33,33,38,40,48,54
2014_전라북도,전라북도,2014,66,67,60,59,73,48,36,31,37,40,46,44
2015_전라북도,전라북도,2015,54,73,77,47,50,47,33,33,29.0,60.0,43,54
2016_전라북도,전라북도,2016,54,51,64,75,58,48,29,37,41,44,57,51
2017_전라북도,전라북도,2017,56,50,66,64,67,44,31,27,38,39,52,44
2018_전라북도,전라북도,2018,54,58,55,58,42,43,25,23,24,35,63,47
2019_전라북도,전라북도,2019,61,62,68,44,50,38,,NaN,NaN,NaN,NaN,NaN
2010_전라남도,전라남도,2010,46,40,58,39,51,37,27,30,29,35,58,49
2011_전라남도,전라남도,2011,33,56,46,47,67,43,34,32,30,37,36,34
2012_전라남도,전라남도,2012,43,39,43,40,48,33,28,25,30,35,40,28
2013_전라남도,전라남도,2013,48,36,53,40,52,35,34,34,29,29,34,38
2014_전라남도,전라남도,2014,51,42,44,43,56,40,32,26,28,28,30,31
2015_전라남도,전라남도,2015,37,52,49,38,41,40,34.0,32,25.0,42,29,36
2016_전라남도,전라남도,2016,37,39,46,53,47,33,25,32,30,30,37,32
2017_전라남도,전라남도,2017,36,33,42,45,51,34,30,25,30,25,39,34
2018_전라남도,전라남도,2018,37,42,39,51,35,35,26,23,23,29,45,37
2019_전라남도,전라남도,2019,42,47,48,33,41,31,,NaN,NaN,NaN,NaN,NaN
2010_경상북도,경상북도,2010,50,47,62,48,54,44,33,33,31,37,64,59
2011_경상북도,경상북도,2011,42,66,64,55,69,48,33,29,32,43,47,46
2012_경상북도,경상북도,2012,57,53,52,55,52,39,37,29,32,43,50,43
2013_경상북도,경상북도,2013,66,52,67,52,61,47,39,42,35,38,47,55
2014_경상북도,경상북도,2014,65,55,57,59,66,47,42,32,33,39,47,43
2015_경상북도,경상북도,2015,50,68,63,45,49,44,33,35.0,30.0,41.0,32,45
2016_경상북도,경상북도,2016,45,42,48,55,47,34,25,24,31,34,50,44
2017_경상북도,경상북도,2017,47,41,47,46,51,35,30,22,32,31,49,47
2018_경상북도,경상북도,2018,48,52,48,63,48,39,32,24,28,35,60,49
2019_경상북도,경상북도,2019,62,57,60,43,47,33,,NaN,NaN,NaN,NaN,NaN
2010_경상남도,경상남도,2010,45,42,61,45,52,43,36,36,31,39,59,57
2011_경상남도,경상남도,2011,37,60,54,53,71,49,34,31,31,42,41,40
2012_경상남도,경상남도,2012,46,45,48,50,53,38,36,29,33,41,47,39
2013_경상남도,경상남도,2013,61,48,63,47,58,44,37,44,34,38,45,50
2014_경상남도,경상남도,2014,64,52,52,52,67,48,40,29,37,41,48,42
2015_경상남도,경상남도,2015,48,64,57,47,51,49,39,38,31,45,35,43
2016_경상남도,경상남도,2016,45,47,52,59,53,42,33,36,37,38,50,44
2017_경상남도,경상남도,2017,46,42,50,52,55,42,39,29,35,30,48,43
2018_경상남도,경상남도,2018,43,49,42,60,42,41,35,28,29,34,52,43
2019_경상남도,경상남도,2019,49,51,51,40,47,36,,NaN,NaN,NaN,NaN,NaN
2010_제주도,제주도,2010,54,41,71,47,58,37,31,29,29,45,86,53
2011_제주도,제주도,2011,32,54,49,51,80,41,28,28,29,41,37,36
2012_제주도,제주도,2012,47,38,44,40,49,20,20,19,29,36,40,25
2013_제주도,제주도,2013,42,34,54,42,53,33,28,32,33,38,49,45
2014_제주도,제주도,2014,56,46,56,49,77,51,38,30,33,38,39,46
2015_제주도,제주도,2015,49,61,59,47,42,41,34,35,33,50.0,38.0,41
2016_제주도,제주도,2016,43,50,50,58,53,34,27,29,35,40,39,36
2017_제주도,제주도,2017,35,37,44,54,47,37,26,28.0,32.0,27,40,34
2018_제주도,제주도,2018,33,42,42,55,37,33,28,25,26,30,39,30
2019_제주도,제주도,2019,35,42,50,38,43,30,,NaN,NaN,NaN,NaN,NaN
